title,journal,year,opening,label,score,neurodivergence
School employee accused of chasing and hitting 3-year-old autistic boy,Independent Online,17:49,"Mother Taneshia Lindsay says her nonverbal son was doing nothing wrong prior to hallway attack A pre-school employee who hit a 3-year-old autistic boy in the head before knocking him to the ground has been fired, according to the school ...",negative,0.9989761114120483,autism
Furious Liberal senator chokes up after Greens MP allegedly yelled 'at least I keep my legs shut' at her in Parliament - and claims it was a...,Mail Online,3:06,* Lidia Thorpe allegedly told Hollie Hughes 'at least I kept my legs shut' in senate * Senator Thorpe withdrew her remark and later apologised to Senator Hughes,negative,0.998974084854126,autism
"25 Yrs. for killing son; Ex-NYPD officer sprayed water on autistic son, let him freeze in garage",New York Daily News,2022,"A former NYPD officer whose 8-year-old autistic son froze to death in a Long Island garage was sentenced to 25 years to life on Thursday, a month after a jury found him guilty of murder and child endangerment.",negative,0.9989734888076782,autism
California official says women on boards law is toothless,Independent Online,3:48,A California official says the state’s landmark law mandating women be placed on corporate boards is toothless and there are no plans to fine companies for not complying,negative,0.9989707469940186,autism
Underage rape suit vs. singer,New York Post,2022,"Backstreet Boys singer Nick Carter was accused Thursday of raping an underage fan with autism and cerebral palsy after a 2001 concert. Shannon ""Shay"" Ruth, 39, filed a civil suit seeking $30 million in damages for the assault she says ...",negative,0.9989659786224365,autism
Finance watchdog ‘changed scheme to avoid paying compensation’,The Guardian,9:45,Financial Conduct Authority investigated after string of scandals Britain’s financial watchdog has been accused of unlawfully changing its complaints scheme “via the backdoor” in an attempt to avoid paying compensation to victims of failed ...,negative,0.998965859413147,autism
Finance watchdog ‘changed scheme to avoid paying compensation’,The Observer,9:45,Financial Conduct Authority investigated after string of scandals Britain’s financial watchdog has been accused of unlawfully changing its complaints scheme “via the backdoor” in an attempt to avoid paying compensation to victims of failed ...,negative,0.998965859413147,autism
"Mother whose autistic daughter, 16, was dragged from home by police officers says girl is NOT homophobic as police confirm no further action...",Mail Online,19:15,"* The girl, 16, was arrested after saying a police officer 'was a lesbian like nana' * The teenager hid in her hallway and was filmed being dragged away screaming",negative,0.9989652633666992,autism
Nick Carter denies sexually assaulting 17-year-old fan in 2001,Independent Online,3:50,"Carter’s attorney Michael Holtz called the allegations ‘entirely untrue’ Backstreet Boys singer Nick Carter has been sued for sexual battery by a woman who claims she was assaulted as a teenager in 2001, which he denies.",negative,0.9989629983901978,autism
Police arrest autistic teenager 'who said officer looked like her lesbian nana',The Telegraph Online,21:46,Mother says 16-year-old was dragged away screaming after being arrested on suspicion of homophobia Police who arrested a teenager after she said a female officer “looked like her lesbian nana” have been accused of a “callous overreaction”.,negative,0.998960018157959,autism
"My biggest battle is with stereotypes, says rapping former teacher, 66",thetimes.co.uk,16:39,"When Joy France turns up at a battle-rapping contest, the bouncers think she has lost the plot and redirect her to the bingo. However she has found her niche amid the brutal verbal contests of the ‘gentle community of young men’",neutral,0.9863885045051575,autism
Family holidays are drudgery - so I travel alone once a year,i,2023,"TRAVEL Travelling with children is just parenting in a much less convenient location, argues Georgina Fuller ""How was your summer? Did you go away anywhere nice?"" the mother of one of my daughter's friends asked me on the first day back at ...",neutral,0.9863682389259338,autism
"Gregg Wallace, 57, reveals his 2-year-old son Sid with wife Anna, 35, is non-verbal and they suspect autism - but he is a 'happy boy' and...",Mail Online,17:47,"* Gregg Wallace has revealed he suspects his son Sid, 2, could be autistic, but has said he has improved enormously since he started to see a speech therapist",neutral,0.9863514304161072,autism
Carolyn Hax: Parent of a disabled child is tired of pity from friends,Washington Post.com,2022,"Adapted from an online discussion.Hi Carolyn! I don't want to imply that I'm an incredibly special snowflake, but I have a child with a lot of disabilities, and my old friends Do. Not. Get. It.To the casual observer, my son looks fine, but ...",neutral,0.9859955906867981,autism
‘I was blown away by the work I saw’: the Turner prize and the rise of neurodiverse art,The Guardian,11:36,"Six years ago, they were told they shouldn’t be in the same building as ‘artists of calibre’. But, with a Turner nomination under their belt, life is changing for the Project Art Works collective and other neurodiverse artists",neutral,0.9859241843223572,autism
"School can still use shocks, SJC rules",The Boston Globe,2023,"State may challenge in individual instances The Judge Rotenberg Educational Center can continue to use electric shock therapy on patients with developmental and intellectual disabilities, but state agencies can challenge the practice on a ...",neutral,0.9858497381210327,autism
Children as young as seven to get NHS trans treatment,The Telegraph Online,22:00,"Clinics will also consider the impact of other medical and mental health issues Children as young as seven will get transgender treatment on the NHS, according to plans seen by The Telegraph.",neutral,0.9854606986045837,autism
Paddy McGuinness says ‘toughest’ part of being a parent to autistic children is the long wait for diagnosis,Independent Online,10:32,"‘In some areas of the UK, the wait for a diagnosis doesn’t take weeks or months, but years. It needs to change. People need to be seen much faster,’ said presenter",neutral,0.9851164221763611,autism
CDC reports increase in autism; Experts suggest results largely due to greater awareness,St. Louis Post-Dispatch,2021,"New autism numbers released Thursday suggest more U.S. children are being diagnosed with the developmental condition and at younger ages. In an analysis of 2018 data from nearly a dozen states, researchers at the Centers for Disease Control ...",neutral,0.9850530028343201,autism
"‘Succession’ Season 3, Episode 8: Italian Ice",NYTimes.com Feed,4:05,"Kendall didn’t come out of the last family wedding so well. His mother’s Tuscan nuptials don’t look any more promising. Season 3, Episode 8: ‘Chiantishire’",neutral,0.9849392175674438,autism
We must save initiative that gives adults with learning disabilities a voice,Independent Online,10:53,"People’s Parliament unites and empowers people with learning disabilities to fight for change -we must ensure its survival, says Tim Dawson Here is a chilling statistic. During the pandemic adults with learning disabilities were at least ...",positive,0.8956107497215271,autism
Inspirational young people recognised in new year honours list,The Guardian,0:05,Accolades for young people who led the way in fundraising efforts and helping out their communities• New year honours feature Covid experts alongside actors and Olympians,positive,0.8671930432319641,autism
The Queen's Gambit,The New York Times,2021,"IN THE SHADOW OF THE EMPRESS The Defiant Lives of Maria Theresa, Mother of Marie Antoinette, and Her Daughters By Nancy Goldstone In her new biography, ''In the Shadow of the Empress,'' Nancy Goldstone seeks to tell ''the story of a family of ...",positive,0.8589537739753723,autism
Recognizing the needs of people on the autism spectrum and their families,The Arizona Republic,2023,Social Security is committed to reducing barriers and ensuring people who are eligible for our benefits receive them. We provide income security for the diverse populations we serve. This includes people with autism spectrum disorder (ASD) ...,positive,0.857081949710846,autism
"Growing vaccine hesitancy fuels measles, chickenpox resurgence in U.S.",Washington Post.com,2022,"CORRECTION: The Washington Post is providing this important information about the coronavirus for free. For more free coverage of the coronavirus pandemic, sign up for our Coronavirus Updates newsletter where all stories are free to read.",positive,0.8503093719482422,autism
‘I had got to a dark place’: project helps mothers in Wales cope with life after birth,The Guardian,12:24,"Mums Matter courses teach mental health tools and offer peer support for those overwhelmed by negative thoughts When Bethany Morrall-Lane gave birth to her second son, she was so depressed and exhausted that one day, walking down the stairs ...",positive,0.832015872001648,autism
"The enduring legacy of Tucker, a beloved pony, from Windrush Farm",The Boston Globe,2021,"Tucker, a purebred Connemara pony, came to call North Andover's Windrush Farm home in 1999. Windrush is a Professional Association of Therapeutic Horsemanship International (PATH) Premier-accredited facility, where clients with physical, ...",positive,0.8262839913368225,autism
A dream you can hold in your hand,The Boston Globe,2022,"Kids write to Globe Santa about books For 67 years Globe Santa, a program of the Boston Globe Foundation, has provided gifts to children in need at holiday time. Please consider giving by phone, mail, or online at globesanta.org.",positive,0.8250728249549866,autism
We should shout it from Camelback Mountain; Steven Spielberg taught himself to make films as a boy in Phoenix,The Arizona Republic,2022,The Spielberg story says anyone growing up in this oasis city can think audacious thoughts and dream of conquering worlds. Arizona's most important son honed his filmmaking skills while growing up in Phoenix. It's a story that we in Arizona ...,positive,0.8214099407196045,autism
Prince Edward appears in high spirits as he chats with guests during prestigious Commonwealth Youth Awards at St James's Palace,Mail Online,17:23,* Prince Edward chatted with guests during the awards at St James's Palace * READ MORE: Adorable moment youngster asks Prince Edward to take a photo with his royal-loving friend's Lego brick,positive,0.8184247612953186,autism
'Killer' who 'beat Nigerian migrant to death' in attack which shocked Italy claims there was 'no racial motive' and he has been diagnosed...,Mail Online,22:58,"* Filippo Ferlazzo, 32, inflicted deadly daylight beating on Alika Ogorchukwu, 39 * Ferlazzo reportedly told cops he was 'not racially motivated' and 'apologised'",negative,0.9989732503890991,bipolar
"Kanye West's Yeezy clothing brand owes California $600,000 in unpaid tax debt, state liens reveal - just weeks after he lost his billionaire...",Mail Online,22:54,"* Kanye West's Yeezy clothing brand owes California $600,000 * Records showed the company has been notified three times since 2021 * Experts said that the debt is a warning sign of 'extreme cash problems'",negative,0.9989594221115112,bipolar
Broadcaster Chris Smith blames alcohol addiction as he apologises for 'lewd comments and making a female colleague cry' at a Christmas party...,Mail Online,0:43,* TV and radio host Chris Smith has been suspended from Sky News and 2GB * It's alleged Smith acted inappropriately at Sky News Australia's Christmas party,negative,0.9989579916000366,bipolar
"Waukesha parade killer Darrell Brooks got $1,000 bail despite scoring 6 out of 6 on risk of new criminal activity in bond assessment and 4...",Mail Online,21:49,"* Darrell Brooks, 39, was granted a $1,000 bail despite answering 'yes' to all six questions regarding the risk factors when allowing him out on bail",negative,0.9989578723907471,bipolar
"'Part of me is buzzing!' Michelle Keegan, 34, reveals she was REFUSED wine in a supermarket because she didn't have any ID",Mail Online,11:30,"Michelle Keegan has admitted she was stunned when she was refused wine in a supermarket because she didn't have any ID on Friday night. The actress, 34, was unable to purchase the drink after failing to prove she was above the legal drinking...",negative,0.9989556074142456,bipolar
"Indy native: Army failed to hear plea for help; Officer molested girl, 9, years after daughter said she was abused",The Indianapolis Star,2022,"The federal prosecutor's words struck Brenna Saoirse immediately. Sitting a few rows in front of Saoirse, at the defendant's table in a federal courtroom in Indianapolis, was Bennie William Schuck. The former U.S. Army special agent had ...",negative,0.9989553689956665,bipolar
Nurse in LA horror crash claims she had a 'mental collapse' at the wheel of her speeding Mercedes and Facetimed her sister completely naked...,Mail Online,7:30,"* INicole Linton, 37, is charged with six counts of murder for the August 4 crash * The LA County DA also charged her with five counts of vehicular manslaughter Linton was allegedly driving about 100mph when she slammed into traffic",negative,0.9989533424377441,bipolar
Chris Smith is SACKED by 2GB after Ray Hadley's furious takedown of the disgraced TV and radio host: 'An embarrassment who monstered women',Mail Online,3:58,* TV and radio host Chris Smith has been fired by 2GB and suspended by Sky * It's alleged Smith acted inappropriately at Sky News Australia's Christmas party,negative,0.9989504218101501,bipolar
"Thug, 21, who Googled 'how to kill a baby' then fed a newborn girl prescription drugs leaving her in intensive care is jailed for 25 years",Mail Online,21:22,* Jamar Bailey Googled 'how to poison a baby' then fed newborn girl drugs * He was arrested after the child had been taken to hospital on June 27 last year,negative,0.9989475607872009,bipolar
Doctor accused of sexual assault; Orlando psychiatrist's practice restricted after multiple allegations,Orlando Sentinel,2023,"An Orlando psychiatrist has been prohibited from treating female patients after multiple women accused him of sexual assault, according to an emergency order by the Florida Department of Health.",negative,0.9989462494850159,bipolar
Next to Normal review – fizzing musical about mental illness,The Guardian,11:52,"Donmar Warehouse, LondonThe performances are superb in this tale of a family dealing with bipolar disorder but the storyline is thin Star Rating: 3 stars",neutral,0.9867725968360901,bipolar
Bodies of people with mental illness ‘biologically older than their actual age’,Independent Online,23:05,"The findings may go some way to explaining why people with mental health problems tend to have shorter lifespans, the researchers say. The bodies of people with mental illness could be biologically older than their actual age, according to a...",neutral,0.9866322875022888,bipolar
"INSANITY, SANITISED",The Independent,2023,"Features | The Donmar’s revival of Broadway smash ‘Next to Normal’ has a star turn from actor Caissie Levy, but fails to capture the true messiness of its subject matter, writes Alice Saville",neutral,0.986264169216156,bipolar
Taraji P. Henson 'wasn't doing well' with her mental health – so she did something about it,USA Today Online,12:18,"Taraji P. Henson is ""in a good place."" But she wasn't always. Henson, 52, isn't a stranger to therapy and her resume for mental health advocacy proves it. In 2018, she launched the Boris Lawrence Henson Foundation, named after her father who ...",neutral,0.9861344695091248,bipolar
