Movie/Show Title,Type,Genre,Neurodivergence Portrayed,Role,Gender of the neurodivergent character,Year,Rating
Everything’s Gonna Be Okay,Show,Comedy Drama,Autism Spectrum,Main,Female,2020,"7,4"
Lady Dynamite,Show,Comedy,"OCD,Bipolar Disorder",Main,Female,2016,"7,4"
Ozark,Show,Crime Drama Thriller,Down Syndrome,Side,Male,2017,"8,5"
I am Sam,Movie,Drama,Intellectual Disability,Main,Male,2001,"7,6"
The Bridge,Show,Crime Mystery Thriller,Autism Spectrum,Main,Female,2011-2018,"8,6"
Vivo,Animated Movie,Adventure Comedy,ADHD,Main,Female,2021,"6,7"
Keep the Change,Short Film,Comedy Drama,Autism Spectrum,Main,Male,2013,"7,5"
Keep the Change,Movie,Comedy Romance,Autism Spectrum,Main,Mixed,2017,"6,5"
She-Ra and the Princess of Power,Animated Series,Animation Action Adventure,Autism Spectrum,Side,Female,2018-2020,"8,1"
Hannibal,Show,Crime Drama Horror,Autism Spectrum,Main,Male,2013-2015,"8,5"
Community,Show,Comedy,Autism Spectrum,Main,Male,2009-2015,"8,5"
Sherlock,Show,Crime Drama Mystery,Autism Spectrum,Main,Male,2010-2017,"9,1"
Mr Robot,Show,Crime Drama Mystery,Autism Spectrum,Main,Male,2015-2019,"8,5"
Watchmen,Show,Crime Drama Mystery,PTSD,Side,Male,2019,"8,2"
Legion,Show,Action Drama Sci-Fi,Schizophrenia,Main,Male,2017-2019,"8,2"
Baby Driver,Movie,Action Crime Drama,Autism Spectrum,Main,Male,2017,"7,6"
Bones,Show,Crime Drama Mystery,Autism Spectrum,Main,Female,2005-2017,"7,8"
The Good Doctor,Show,Drama,Autism Spectrum,Main,Male,2017-2023,8
Please Stand By,Movie,Comedy Drama,Autism Spectrum,Main,Female,2017,"6,7"
A Boy Called Po,Movie,Drama Fantasy,Autism Spectrum,Main,Male,2016,"6,5"
A Mile In His Shoes,Movie,Drama Family,Autism Spectrum,Main,Male,2011,"6,1"
Adam,Movie,Comedy Drama Romance,Autism Spectrum,Main,Male,2009,"7,1"
Asperger's Are Us,Documentary,Documentary Comedy Drama,Autism Spectrum,Main,Mixed,2016,"6,6"
Atypical,Show,Comedy Drama,Autism Spectrum,Main,Male,2017-2023,"8,2"
Autism in Love,Documentary,Documentary Drama Romance,Autism Spectrum,Main,Mixed,2015,"7,5"
Backstreet Dreams,Movie,Crime Drama Romance,Autism Spectrum,Side,Male,1990,"4,8"
Bad Hurt,Movie,Drama,Autism Spectrum,Main,Female,2015,"5,8"
Dad's in Heaven with Nixon,Documentary,Documentary,Autism Spectrum,Main,Male,2010,"7,6"
David's Mother,Movie,Drama,Autism Spectrum,Main,Male,1994,"6,2"
Deej,Documentary,Documentary,Autism Spectrum,Main,Male,2017,"7,2"
Exodus Fall,Movie,Drama,Autism Spectrum,Main,Male,2011,"7,9"
Fly Away,Movie,Drama,Autism Spectrum,Main,Female,2011,"6,3"
House of Cards,Movie,Drama,Autism Spectrum,Main,Female,1993,"6,1"
How To Dance in Ohio,Documentary,Documentary Drama,Autism Spectrum,Main,Mixed,2015,"7,7"
Isn't She Great?,Movie,Biography Comedy Drama,Autism Spectrum,Side,Male,2000,"5,3"
Jack of the Red Hearts,Movie,Drama Family,Autism Spectrum,Main,Female,2015,7
"Life, Animated",Documentary,Documentary Comedy Drama,Autism Spectrum,Main,Male,2016,"7,4"
Loop,Short Film,Drama Sci-Fi,Autism Spectrum,Main,Female,2020,"6,5"
Mary and Max,Animated Movie,Comedy Drama,Autism Spectrum,Side,Mixed,2009,"8,1"
Mozart and the Whale,Movie,Comedy Drama Romance,Autism Spectrum,Main,Mixed,2005,"6,7"
