title,journal,year,opening,label,score,neurodivergence
"Mass murderer was autistic, not misogynist, claim lawyers",The Times,2020,"Alek Minassian has admitted running down 26 people in a rented van two years ago, killing ten in Toronto's worst act of mass violence. However, his lawyers have claimed that his autism prevented him from telling right from wrong, prompting ...",negative,0.9989736080169678,autism
2 parents sue district over child's pronouns; Claim school tried to hide student's switch,The Detroit Free Press,2023,Two Rockford parents have filed a lawsuit against Rockford Public Schools for referring to their child with male pronouns without their consent or knowledge.,negative,0.9989705085754395,autism
Texas speech pathologist loses job for refusing to sign pro-Israel pledge,Independent Online,2018,Children’s speech pathologist Bahia Amawinowsuing Texas attorney generaland the school district that dismissed her A speech pathologist at a Texas elementary school has sued after allegedly being forced out of her contract job at an ...,negative,0.9989595413208008,autism
Julia Hartley-Brewer accused of using ‘autistic’ as insult in Greta Thunberg attack,Independent Online,2022,The TalkTV hosts appears to have backed Andrew Tate in his Twitter row with the climate campaigner Julia-Hartley Brewer has been accused of using the word “autistic” as an insult against Greta Thunberg.,negative,0.9989578723907471,autism
NYCHA let kids live in homes they knew were toxic * Never told families of lead-paint peril * Learning disabilities plague children,New York Daily News,2017,"WHEN THE city Housing Authority placed the Herrera family in Apartment 5-A at the Red Hook Houses in 2013, the agency knew the public housing unit contained toxic lead paint.",negative,0.9989558458328247,autism
School bans pupils from using the toilet during lessons to crack down on fears they are vaping - but furious parents say it is leading to...,Mail Online,2024,"* Winton Community Academy in Andover said policy will also stop bullying A school has banned children from using the toilet during lessons in a bid to crack down on vaping, sparking outrage among parents.",negative,0.9989556074142456,autism
'Why was this man free to kill my father in the street?',The Daily Telegraph,2019,"Victim's 15-year-old son questions why teenager with 31 convictions had not been behind bars THE 15-year-old son of a lawyer murdered at random with a screwdriver yesterday told a court he ""cannot understand"" why his teenage killer was free ...",negative,0.9989467263221741,autism
Children with learning disabilities offered 'do not resuscitate' orders during Covid pandemic,The Telegraph Online,2021,"Revelation adds to fears that controversial resuscitation orders may have been issued in a discriminatory fashion during the pandemic Children with learning disabilities were offered “do not resuscitate” orders during the pandemic, The ...",negative,0.9989462494850159,autism
The US embassy cables Britain and world reaction: US spurned Gordon Brown's appeal over jail for British computer hacker: Attempt to strike...,The Guardian,2010,Leaked US embassy cables reveal that Gordon Brown unsuccessfully put his reputation as prime minister on the line in a plea to Washington that the British computer hacker Gary McKinnon be allowed to serve any sentence in the UK.,negative,0.9989444613456726,autism
GBP1.3m for sterilisation op blunder,The Express,1999,"A mother who had a severely handicapped baby after a failed sterilisation operation was yesterday awarded record GBP1.3million damages for ""wrongful birth"", writes Maggie Morgan.",negative,0.9989437460899353,autism
Further reading: Never mind the facts: Channel Five's new drama about the link between MMR and autism makes great TV. But it gets the story...,The Guardian,2003,"There's not a lot you need to know about the link between MMR and autism, except that there's very little evidence to suggest any link at all. You don't have to take my word for it, because I'll describe the science ...",neutral,0.9873036742210388,autism
Sue Miller looks for metaphors in motherhood,Atlanta Journal; Atlanta Constitution,1990,"There are no great white whales in Sue Miller's fiction, no sweeping battle scenes. Instead, the author of ""The Good Mother"" and ""Family Pictures"" writes of a smaller domestic landscape, where most skirmishes are ...",neutral,0.987003743648529,autism
Helping autistic students,The Boston Globe,1998,"Doug Flutie's response to a question about his son Doug Jr.'s future -- ""It's not very promising"" -- is very disheartening (""The Interview,"" August 30). On the contrary, Flutie may have reason to hope for ...",neutral,0.9869072437286377,autism
Life: Cover story: Never mind the facts: Channel Fives new drama about the link between MMR and autism makes great TV. But it gets the story...,The Guardian,2003,"There's not a lot you need to know about the link between MMR and autism, except that there's very little evidence to suggest any link at all. You don't have to take my word for it, because I'll describe the science ...",neutral,0.9867265224456787,autism
Christine McGuinness puts on a VERY eye-popping display in saucy throwback Instagram video documenting her year,Mail Online,2018,She works hard to maintain her sensational figure. And Christine McGuinness made sure she showed off her hardwork in a very saucy throwback Instagram video documenting her past year ahead of 2019.,neutral,0.9866190552711487,autism
"Inclusion in the mainstream is the new mantra. But autism is more thana learning difficulty, it's a way ...",The Guardian,2002,"Inclusion in the mainstream is the new mantra. But autism is more than a learning difficulty, it's a way of being.   Ihave just been to Sam's annual review. If you have a child with a statement of special educational need, you ...",neutral,0.986561119556427,autism
Rules increase help for disabled,St. Petersburg Times,1990,"Sometimes the system works -  even if in fits and starts and with long delays and disputes.   Although advocacy groups and the Social Security Administration (SSA) still are squabbling over important details, SSA is about to put in place ...",neutral,0.9865298271179199,autism
Parents - Mind the gap - Inclusion in the mainstream is the new mantra.But autism is more than a ...,The Guardian,2002,"Parents - Mind the gap - Inclusion in the mainstream is the new mantra. But autism is more than a learning difficulty, it's a way of being.",neutral,0.986425518989563,autism
IS THE SWINE FLU JAB DANGEROUS?,Daily Mail,2009,"AFEW days before Christmas and health matters are farthest from your mind when, out of the blue, an invitation drops through the letterbox -- but it isn't to a party and it isn't really for you.",neutral,0.9862757921218872,autism
Peter Andre spends quality time with children Princess and Junior at Disney On Ice... following their mother Katie Price's controversial ou...,Mail Online,2016,"He's just welcomed another son, Theo, into his life with second wife Emily. But doting dad Peter Andre proved he doesn't play favourites when he took his children from his past marriage to Katie Price for a Chrismassy day out on Wednesday.",neutral,0.9861224293708801,autism
"treating autism, and",The New York Times Abstracts,2004,"treating autism, and",positive,0.920761227607727,autism
"Life at the migrant centre: 'You’re changing lives, that's what keeps you going'",The Guardian,2018,"The Refugee and Migrant Centre, a beneficiary of the Guardian and Observer charity appeal, is a vital force against injusticePlease donate to our appeal here",positive,0.8993621468544006,autism
FFL Partners Buys Autism Learning Partners,WSJ Pro Private Equity,2017,"FFL Partners acquired Autism Learning Partners, a provider of applied behavioral analysis therapy for children and young adults with autism spectrum disorders and developmental disabilities.",positive,0.8955650329589844,autism
"All You Need to Know About 'Everything'; The Word, It Seems, Is Now Everywhere",The Washington Post,2003,Everything. It's the eternally hot word. It's what we all want. Men have sold their souls for it; women have risked their lives.,positive,0.8925203084945679,autism
Dogs for the Disabled,The Sunday Telegraph,2010,"A dog can be an essential source of help, as well as comfort, to someone who is disabled. Properly trained, an assistance dog will pick up dropped items, help with dressing, turn on lights, activate an alarm and perform other tasks that ...",positive,0.8914816379547119,autism
Rebuilding our lives after Sandy Hook,The Sunday Telegraph,2014,"Two years since America deadliest school shooting, the mother of the only British victim tells of her determination for good to come out of tragedy",positive,0.8907572031021118,autism
DON'T LEAVE DISABLED ALONE THIS CHRISTMAS,Daily Mail,2020,UNWRAPPING presents. Eating roast turkey. Sitting around a gaudily decorated tree. Millions of families will share these simple pleasures on Christmas Day.,positive,0.8750844597816467,autism
The Game Plan; Savings Strategies; How some individuals and couples are trying to save money for retirement,The Wall Street Journal (Online and Print),2008,The Game Plan takes a look at how some individuals and families are saving for retirement. You're invited to share your own retirement-savings plans by sending an email to reports@wsj.com .,positive,0.8741179704666138,autism
From Malala to Mandela: biography & memoir Christmas reviews,Independent Online,2013,"In a year that saw the death of a true 20th-century hero, it seems appropriate to begin the list of best biographies and memoirs with the life of a new one for the 21st: I Am Malala, by Malala Yousafzai and Christina Lamb (W&N, £18.99). ...",positive,0.8700326681137085,autism
Recycling helps some disabled adults blossom,St. Petersburg Times,1997,"In the flowers left behind at a church after a young couple marries or a grandfather dies, James Knutson has found his best job ever.   Knutson is one of the first employees of the Flower Exchange, a pilot project begun last month to train ...",positive,0.866741418838501,autism
U.S.: Give Mezvinsky 9-11 yearsAn assistant U.S. attorney has requested the term for the formercongressman's sentence for fraud.,The Philadelphia Inquirer,2002,"Former U.S. Rep. Edward M. Mezvinsky is not due to be sentenced for an array of admitted crimes until Jan. 9, but the U.S. Attorney's Office disclosed yesterday that it would seek a sentence of nine to 11 years for what it calls ...",negative,0.9989826083183289,bipolar
"Laughing gas abuse contributed to student’s death, inquest rules",The Guardian,2024,"Ellen Mercer, 24, inhaled up to three ‘big bottles’ of nitrous oxide a day, Berkshire coroner’s court told Long-term laughing gas abuse contributed to a 24-year-old student’s death, an inquest has ruled.",negative,0.9989765882492065,bipolar
"Teacher, 40, who sexually abused a teenage student and sent explicit texts to another is sentenced to 15 months of house arrest",Mail Online,2016,* Former Nova Scotia teacher with bipolar disorder sexually abused one teenage male student and sent sexually explicit texts to another * Was sentenced to house arrest by a judge who said the mandatory minimum of one year in jail was too ...,negative,0.9989738464355469,bipolar
Two women plead guilty to bank fraudThey embezzled more than $1.4 million from the Cherry Hill manufacturerthat employed them. Why was no...,The Philadelphia Inquirer,2002,"Two Cherry Hill women told a judge yesterday that they embezzled more than a million dollars from their employer over a five-year period, but authorities did not disclose why the crime occurred or how the money was spent.",negative,0.9989719390869141,bipolar
